"id-mapa";"anio";"mes";"dia";"fecha";"franja";"tipo";"subtipo";"uso_arma";"uso_moto";"barrio";"comuna";"latitud";"longitud";"cantidad"
42475;2022;"DICIEMBRE";"JUEVES";"2022-12-01";19;"Robo";"Robo total";"NO";"NO";"CHACARITA";15;-34.591702;-58.447601;1
42476;2022;"DICIEMBRE";"LUNES";"2022-12-05";21;"Robo";"Robo total";"NO";"NO";"CHACARITA";15;-34.58518152;-58.45637294;1
42477;2022;"DICIEMBRE";"MIERCOLES";"2022-12-07";10;"Robo";"Robo total";"NO";"NO";"CHACARITA";15;-34.58388101;-58.45619644;1
42478;2022;"DICIEMBRE";"MARTES";"2022-12-06";11;"Hurto";"Hurto total";"NO";"NO";"CHACARITA";15;-34.584358;-58.453433;1
42479;2022;"DICIEMBRE";"MARTES";"2022-12-06";12;"Hurto";"Hurto automotor";"NO";"NO";"CHACARITA";15;-34.588143;-58.445117;1
42480;2022;"DICIEMBRE";"MARTES";"2022-12-13";6;"Hurto";"Hurto total";"NO";"NO";"CHACARITA";15;-34.583288;-58.447638;1
42481;2022;"DICIEMBRE";"LUNES";"2022-12-12";9;"Hurto";"Hurto total";"NO";"NO";"CHACARITA";15;-34.585182;-58.453967;1
42482;2022;"DICIEMBRE";"LUNES";"2022-12-12";15;"Hurto";"Hurto total";"NO";"NO";"PATERNAL";15;-34.598464;-58.46134;1
42483;2022;"DICIEMBRE";"MIERCOLES";"2022-12-14";3;"Robo";"Robo total";"NO";"NO";"PATERNAL";15;-34.593289;-58.467083;1
42484;2022;"DICIEMBRE";"JUEVES";"2022-12-15";23;"Hurto";"Hurto total";"NO";"NO";"VILLA CRESPO";15;-34.5933453;-58.4458568;1
42485;2022;"NOVIEMBRE";"LUNES";"2022-11-14";8;"Robo";"Robo total";"NO";"NO";"PATERNAL";15;-34.596832;-58.465114;1
42486;2022;"DICIEMBRE";"LUNES";"2022-12-19";2;"Hurto";"Hurto total";"NO";"NO";"MONSERRAT";1;-34.609038;-58.381153;1
42487;2022;"DICIEMBRE";"LUNES";"2022-12-12";17;"Robo";"Robo total";"NO";"NO";"PATERNAL";15;-34.597085;-58.464071;1
42488;2022;"AGOSTO";"VIERNES";"2022-08-26";10;"Hurto";"Hurto total";"NO";"NO";"VILLA SANTA RITA";11;-34.61647398;-58.4747338;1
42489;2022;"DICIEMBRE";"MIERCOLES";"2022-12-21";5;"Robo";"Robo total";"NO";"NO";"CHACARITA";15;-34.58436;-58.45342;1
42490;2022;"DICIEMBRE";"MIERCOLES";"2022-12-21";23;"Robo";"Robo total";"SI";"SI";"CHACARITA";15;-34.57839;-58.45854;1
42491;2022;"DICIEMBRE";"VIERNES";"2022-12-23";6;"Hurto";"Hurto total";"NO";"NO";"PATERNAL";15;-34.602962;-58.461789;1
42492;2022;"DICIEMBRE";"VIERNES";"2022-12-23";12;"Robo";"Robo total";"SI";"NO";"CHACARITA";15;-34.588866;-58.448439;1
42493;2022;"DICIEMBRE";"JUEVES";"2022-12-22";17;"Robo";"Robo total";"NO";"NO";"CHACARITA";15;-34.58497782;-58.45808818;1
42494;2022;"DICIEMBRE";"JUEVES";"2022-12-22";6;"Robo";"Robo total";"NO";"NO";"PATERNAL";15;-34.597099;-58.463815;1
42495;2022;"DICIEMBRE";"JUEVES";"2022-12-29";7;"Robo";"Robo total";"NO";"NO";"CHACARITA";15;-34.58497782;-58.45808818;1
42496;2022;"DICIEMBRE";"VIERNES";"2022-12-16";17;"Hurto";"Hurto total";"NO";"NO";"PATERNAL";15;-34.596009;-58.473852;1
42497;2022;"DICIEMBRE";"MIERCOLES";"2022-12-28";18;"Hurto";"Hurto total";"NO";"NO";"CHACARITA";15;-34.581223;-58.452846;1
42498;2022;"ENERO";"LUNES";"2022-01-03";13;"Hurto";"Hurto total";"NO";"NO";"RECOLETA";2;-34.599574;-58.393706;1
42499;2022;"ENERO";"SABADO";"2022-01-22";14;"Hurto";"Hurto total";"NO";"NO";"RECOLETA";2;-34.589001;-58.403646;1
42500;2022;"ENERO";"MARTES";"2022-01-04";15;"Robo";"Robo total";"NO";"NO";"RECOLETA";2;-34.598797;-58.395923;1
42501;2022;"SEPTIEMBRE";"JUEVES";"2022-09-08";8;"Hurto";"Hurto total";"NO";"NO";"VILLA SANTA RITA";11;-34.611749;-58.487596;1
42502;2022;"ENERO";"VIERNES";"2022-01-14";7;"Robo";"Robo total";"NO";"NO";"RECOLETA";2;-34.598087;-58.409433;1
42503;2022;"ENERO";"LUNES";"2022-01-17";22;"Robo";"Robo total";"NO";"NO";"PALERMO";14;-34.583272;-58.406406;1
42504;2022;"ENERO";"LUNES";"2022-01-17";22;"Robo";"Robo total";"NO";"NO";"RECOLETA";2;-34.59585;-58.395569;1
42505;2022;"ENERO";"MARTES";"2022-01-18";5;"Robo";"Robo total";"NO";"NO";"RECOLETA";2;-34.595767;-58.393757;1
42506;2022;"ENERO";"LUNES";"2022-01-24";16;"Hurto";"Hurto total";"NO";"NO";"RECOLETA";2;-34.59348;-58.405057;1
42507;2022;"ENERO";"VIERNES";"2022-01-21";22;"Hurto";"Hurto total";"NO";"NO";"ALMAGRO";5;-34.602459;-58.428997;1
42508;2022;"ENERO";"MIERCOLES";"2022-01-26";17;"Hurto";"Hurto total";"NO";"NO";"SAN NICOLAS";1;-34.59959;-58.391561;1
42509;2022;"ENERO";"MIERCOLES";"2022-01-26";8;"Hurto";"Hurto total";"NO";"NO";"RECOLETA";2;-34.593575;-58.404487;1
42510;2022;"ENERO";"VIERNES";"2022-01-28";7;"Hurto";"Hurto total";"NO";"NO";"RECOLETA";2;-34.597907;-58.404561;1
42511;2022;"SEPTIEMBRE";"LUNES";"2022-09-26";20;"Robo";"Robo total";"SI";"NO";"PALERMO";14;-34.567268;-58.407866;1
42512;2022;"SEPTIEMBRE";"VIERNES";"2022-09-09";8;"Hurto";"Hurto automotor";"NO";"NO";"VILLA SANTA RITA";11;-34.614832;-58.480585;1
42513;2022;"FEBRERO";"MARTES";"2022-02-01";15;"Hurto";"Hurto total";"NO";"NO";"RECOLETA";2;-34.591145;-58.401928;1
42514;2022;"FEBRERO";"MARTES";"2022-02-01";13;"Robo";"Robo total";"NO";"NO";"CONSTITUCION";1;-34.626566;-58.382344;1
42515;2022;"FEBRERO";"JUEVES";"2022-02-03";12;"Hurto";"Hurto total";"NO";"NO";"RECOLETA";2;-34.586659;-58.398323;1
42516;2022;"FEBRERO";"MIERCOLES";"2022-02-02";12;"Hurto";"Hurto total";"NO";"NO";"RECOLETA";2;-34.595825;-58.387682;1
42517;2022;"FEBRERO";"MIERCOLES";"2022-02-09";3;"Robo";"Robo total";"NO";"NO";"RECOLETA";2;-34.592435;-58.405858;1
42518;2022;"FEBRERO";"LUNES";"2022-02-07";9;"Robo";"Robo total";"SI";"NO";"RETIRO";1;-34.59503;-58.387201;1
42519;2022;"FEBRERO";"MIERCOLES";"2022-02-09";3;"Robo";"Robo total";"NO";"NO";"RECOLETA";2;-34.59257;-58.406087;1
42520;2022;"FEBRERO";"JUEVES";"2022-02-17";17;"Robo";"Robo total";"NO";"SI";"PALERMO";14;-34.585281;-58.441572;1
42521;2022;"FEBRERO";"VIERNES";"2022-02-11";22;"Robo";"Robo total";"NO";"NO";"RECOLETA";2;-34.595824;-58.402828;1
42522;2022;"FEBRERO";"JUEVES";"2022-02-10";11;"Robo";"Robo total";"NO";"NO";"BALVANERA";3;-34.60781;-58.411869;1
42523;2022;"JULIO";"MIERCOLES";"2022-07-27";1;"Robo";"Robo total";"NO";"NO";"PALERMO";14;-34.588563;-58.435552;1
42524;2022;"FEBRERO";"LUNES";"2022-02-14";4;"Robo";"Robo total";"SI";"NO";"RECOLETA";2;-34.595808;-58.394693;1
42525;2022;"FEBRERO";"LUNES";"2022-02-14";9;"Robo";"Robo total";"NO";"NO";"RECOLETA";2;-34.596663;-58.387133;1
42526;2022;"FEBRERO";"MARTES";"2022-02-15";17;"Robo";"Robo total";"NO";"NO";"RECOLETA";2;-34.599291;-58.386871;1
42527;2022;"SEPTIEMBRE";"VIERNES";"2022-09-09";14;"Hurto";"Hurto total";"NO";"NO";"BALVANERA";3;-34.608839;-58.406035;1
42528;2022;"FEBRERO";"VIERNES";"2022-02-18";22;"Hurto";"Hurto total";"NO";"NO";"VILLA CRESPO";15;-34.599783;-58.444872;1
42529;2022;"FEBRERO";"VIERNES";"2022-02-18";12;"Hurto";"Hurto total";"NO";"NO";"RECOLETA";2;-34.591619;-58.410058;1
42530;2022;"FEBRERO";"VIERNES";"2022-02-18";19;"Hurto";"Hurto total";"NO";"NO";"RECOLETA";2;-34.591975;-58.412477;1
42531;2022;"FEBRERO";"LUNES";"2022-02-21";0;"Hurto";"Hurto total";"NO";"NO";"RECOLETA";2;-34.590611;-58.407508;1
